Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,3,21.1,0.69632,0.42609,2.08036,21,0.033000947867298576,-3.4112189946766893
4,Gornies,6.3,3,23.6,0.67043,0.45024,1.99107,21,0.028408050847457626,-3.5610826934437116
4,Gornies,6.3,3,24.5,0.78916,0.45411,2.34821,21,0.032210612244897956,-3.43545930790605
4,Gornies,6.3,3,22.5,0.674,0.40966,2.14286,21,0.029955555555555558,-3.5080404772802045
4,Gornies,6.3,3,23.1,0.59187,0.41159,1.96429,21,0.02562207792207792,-3.6643008803348973
4,Gornies,6.3,3,26.4,0.73471,0.42319,2.3125,21,0.027829924242424243,-3.581643425603118
4,Gornies,6.3,3,22.8,0.59723,0.37681,2.11607,21,0.026194298245614037,-3.642213516111876
4,Gornies,6.3,3,19.8,0.5267,0.34106,2.04464,21,0.026601010101010097,-3.6268060901932833
4,Gornies,6.3,4,22.7,0.87292,0.4781,2.54825,35,0.038454625550660794,-3.2582762898586948
4,Gornies,6.3,4,27.7,0.94552,0.51572,2.63664,35,0.03413429602888087,-3.3774526514714447
4,Gornies,6.3,4,28.6,0.92876,0.47556,2.74652,35,0.032474125874125875,-3.427311633673779
4,Gornies,6.3,4,26.6,0.84011,0.49986,2.32801,35,0.031583082706766914,-3.4551336591249933
4,Gornies,6.3,4,20.7,1.10397,0.5373,2.96997,35,0.05333188405797101,-2.9312209266986806
4,Gornies,6.3,4,29.3,0.90642,0.53637,2.57374,35,0.0309358361774744,-3.47584002022147
4,Gornies,6.3,4,26.1,0.82685,0.47026,2.537,35,0.03168007662835249,-3.4520672932145793
4,Gornies,6.3,4,25.6,0.67886,0.42228,2.19279,35,0.02651796875,-3.6299327097351344
4,Gornies,6.3,4,25.8,0.88828,0.48972,2.50153,35,0.03442945736434108,-3.36884276230365
4,Gornies,6.3,4,27.3,1.01602,0.55453,2.72049,35,0.03721684981684981,-3.2909936681890017
4,Gornies,6.3,4,32.4,0.90538,0.4967,2.64098,35,0.027943827160493828,-3.577558956706661
4,Gornies,6.3,4,20.1,0.69247,0.46354,2.16515,35,0.03445124378109453,-3.3682101782237073
4,Gornies,6.3,4,26.6,0.92353,0.47368,2.78338,35,0.03471917293233082,-3.360463210547135
4,Gornies,6.3,4,19.2,0.70504,0.47098,2.13876,35,0.036720833333333334,-3.304411019224468
4,Gornies,6.3,4,21.7,0.72668,0.47148,2.2893,35,0.033487557603686637,-3.3965813239580065
4,Gornies,6.3,4,28,0.91201,0.49578,2.64549,35,0.03257178571428571,-3.424308834230843
4,Gornies,6.3,4,33.8,1.0216,0.53795,2.72577,35,0.03022485207100592,-3.4990907767527806
4,Gornies,6.3,4,31.6,0.83732,0.47794,2.39271,35,0.026497468354430377,-3.6307060843486845
4,Gornies,6.3,4,32.4,1.00171,0.52686,2.69734,35,0.03091697530864198,-3.4764498831836814
4,Gornies,6.3,4,34,1.00939,0.53371,2.73133,35,0.029687941176470587,-3.5170143366165814
